,Point No.,Time,Shear Rate,Shear Stress,Viscosity,Torque,Status
0,1,10,0.01,0.0034503,345.1,0.11308,Dy_auto
1,2,20,0.0147,0.003416,232.8,0.11195,Dy_auto
2,3,30,0.0215,0.0034733,161.2,0.11383,Dy_auto
3,4,40,0.0316,0.0039023,123.4,0.12789,Dy_auto
4,5,50,0.0464,0.0040258,86.7,0.13194,Dy_auto
5,6,60,0.0681,0.0043975,64.6,0.14412,Dy_auto
6,7,70,0.1,0.0048933,48.9,0.16037,Dy_auto
7,8,80,0.147,0.0055285,37.7,0.18119,Dy_auto
8,9,90,0.215,0.0067995,31.6,0.22284,Dy_auto
9,10,100,0.316,0.0084537,26.7,0.27705,Dy_auto
10,11,110,0.464,0.010889,23.5,0.35686,Dy_auto
11,12,120,0.681,0.015159,22.3,0.49681,Dy_auto
12,13,130,1,0.019641,19.6,0.64371,Dy_auto
13,14,140,1.47,0.026882,18.3,0.88101,Dy_auto
14,15,150,2.15,0.037107,17.2,1.2161,Dy_auto
15,16,160,3.16,0.052265,16.5,1.7129,Dy_auto
16,17,170,4.64,0.080014,17.2,2.6223,Dy_auto
17,18,180,6.81,0.12179,17.9,3.9913,Dy_auto
18,19,190,10,0.17229,17.2,5.6465,Dy_auto
19,20,200,14.7,0.25614,17.5,8.3944,Dy_auto
20,21,210,21.5,0.37573,17.4,12.314,Dy_auto
21,22,220,31.6,0.55353,17.5,18.141,Dy_auto
22,23,230,46.4,0.81187,17.5,26.608,Dy_auto
23,24,240,68.1,1.1903,17.5,39.011,Dy_auto
24,25,250,100,1.7461,17.5,57.225,Dy_auto
