,Point No.,Time [s],Shear Rate [1/s],Shear Stress [Pa],Viscosity [mPa·s],Torque [µN·m],Status
0,1,10,0.01,0.00073376,73.4,0.024048,Dy_auto
1,2,20,0.0147,0.00089984,61.3,0.029491,Dy_auto
2,3,30,0.0215,0.0011944,55.4,0.039145,Dy_auto
3,4,40,0.0316,0.0013282,42,0.04353,Dy_auto
4,5,50,0.0464,0.0015805,34.1,0.051798,Dy_auto
5,6,60,0.0681,0.0024468,35.9,0.08019,Dy_auto
6,7,70,0.1,0.0031981,32,0.10481,Dy_auto
7,8,80,0.147,0.0041432,28.2,0.13579,Dy_auto
8,9,90,0.215,0.0057875,26.9,0.18967,Dy_auto
9,10,100,0.316,0.0083705,26.5,0.27433,Dy_auto
10,11,110,0.464,0.012403,26.7,0.40649,Dy_auto
11,12,120,0.681,0.017798,26.1,0.58331,Dy_auto
12,13,130,1,0.025314,25.3,0.82962,Dy_auto
13,14,140,1.47,0.03634,24.8,1.191,Dy_auto
14,15,150,2.15,0.051276,23.8,1.6805,Dy_auto
15,16,160,3.16,0.071698,22.7,2.3498,Dy_auto
16,17,170,4.64,0.10287,22.2,3.3714,Dy_auto
17,18,180,6.81,0.15737,23.1,5.1576,Dy_auto
18,19,190,10,0.22683,22.7,7.4339,Dy_auto
19,20,200,14.7,0.33704,23,11.046,Dy_auto
20,21,210,21.5,0.49274,22.9,16.149,Dy_auto
21,22,220,31.6,0.72296,22.9,23.694,Dy_auto
22,23,230,46.4,1.0607,22.9,34.764,Dy_auto
23,24,240,68.1,1.5567,22.9,51.02,Dy_auto
24,25,250,100,2.2839,22.8,74.852,Dy_auto
