,Point No.,Time,Shear Rate,Shear Stress,Viscosity,Torque,Status
0,1,10,0.01,-0.0015663,-156.7,-0.051332,Dy_auto
1,2,20,0.0147,-0.0016072,-109.5,-0.052673,Dy_auto
2,3,30,0.0215,-0.0014075,-65.3,-0.046128,Dy_auto
3,4,40,0.0316,-0.0011216,-35.5,-0.036758,Dy_auto
4,5,50,0.0464,-0.00094881,-20.4,-0.031096,Dy_auto
5,6,60,0.0681,-0.00078186,-11.5,-0.025624,Dy_auto
6,7,70,0.1,-0.00065226,-6.5,-0.021377,Dy_auto
7,8,80,0.147,-0.00056485,-3.8,-0.018512,Dy_auto
8,9,90,0.215,0.00042163,2,0.013818,Dy_auto
9,10,100,0.316,0.0016112,5.1,0.052805,Dy_auto
10,11,110,0.464,0.0035232,7.6,0.11547,Dy_auto
11,12,120,0.681,0.0054957,8.1,0.18011,Dy_auto
12,13,130,1,0.0090194,9,0.2956,Dy_auto
13,14,140,1.47,0.015264,10.4,0.50027,Dy_auto
14,15,150,2.15,0.025333,11.8,0.83025,Dy_auto
15,16,160,3.16,0.040491,12.8,1.327,Dy_auto
16,17,170,4.64,0.059997,12.9,1.9663,Dy_auto
17,18,180,6.81,0.081931,12,2.6851,Dy_auto
18,19,190,10,0.12607,12.6,4.1318,Dy_auto
19,20,200,14.7,0.1806,12.3,5.9188,Dy_auto
20,21,210,21.5,0.26686,12.4,8.7458,Dy_auto
21,22,220,31.6,0.39177,12.4,12.839,Dy_auto
22,23,230,46.4,0.57561,12.4,18.865,Dy_auto
23,24,240,68.1,0.8449,12.4,27.69,Dy_auto
24,25,250,100,1.2421,12.4,40.709,Dy_auto
