,Point No.,Time,Shear Rate,Shear Stress,Viscosity,Torque,Status
0,1,10,0.01,0.0016349,163.5,0.053581,Dy_auto
1,2,20,0.0147,0.0018315,124.8,0.060025,Dy_auto
2,3,30,0.0215,0.0020521,95.3,0.067253,Dy_auto
3,4,40,0.0316,0.0024392,77.1,0.079939,Dy_auto
4,5,50,0.0464,0.0031597,68.1,0.10355,Dy_auto
5,6,60,0.0681,0.004059,59.6,0.13303,Dy_auto
6,7,70,0.1,0.0055839,55.8,0.183,Dy_auto
7,8,80,0.147,0.0079805,54.4,0.26155,Dy_auto
8,9,90,0.215,0.010952,50.8,0.35892,Dy_auto
9,10,100,0.316,0.015246,48.2,0.49965,Dy_auto
10,11,110,0.464,0.0214,46.1,0.70135,Dy_auto
11,12,120,0.681,0.030632,45,1.0039,Dy_auto
12,13,130,1,0.043213,43.2,1.4162,Dy_auto
13,14,140,1.47,0.062834,42.8,2.0593,Dy_auto
14,15,150,2.15,0.092131,42.8,3.0194,Dy_auto
15,16,160,3.16,0.1378,43.6,4.5161,Dy_auto
16,17,170,4.64,0.20676,44.5,6.7761,Dy_auto
17,18,180,6.81,0.29938,43.9,9.8116,Dy_auto
18,19,190,10,0.43975,44,14.412,Dy_auto
19,20,200,14.7,0.64294,43.8,21.071,Dy_auto
20,21,210,21.5,0.945,43.9,30.971,Dy_auto
21,22,220,31.6,1.3886,43.9,45.51,Dy_auto
22,23,230,46.4,2.0382,43.9,66.798,Dy_auto
23,24,240,68.1,2.9915,43.9,98.042,Dy_auto
24,25,250,100,4.39,43.9,143.88,Dy_auto
